name,AverageShortestPathLength,ClosenessCentrality,NeighborhoodConnectivity,TopologicalCoefficient,Label
SH2B1,2.605360444,0.383824051,66.69230769,0.145935028,1
GABPA,2.68207024,0.372846313,85.18181818,0.220678285,1
PGRMC1,2.488909427,0.401782399,51.96153846,0.09460977,1
SLC16A7,2.883548983,0.346794872,67.5,0.301339286,1
RPL29,2.734750462,0.365664076,50.66666667,0.14877451,1
FCN2,2.993530499,0.33405372,42.5,0.233516484,1
MS4A4A,2.820702403,0.354521625,32.58823529,0.12631099,1
MS4A6A,2.791127542,0.358278146,29.9,0.105477032,1
CXADR,2.772643253,0.360666667,40.41666667,0.130411255,1
MASP1,2.677449168,0.373489817,60.91666667,0.157599309,1
TREM1,2.639556377,0.378851541,65.23333333,0.158718573,1
PLAU,2.228280961,0.448776441,90.19642857,0.114585224,1
TRPM2,2.57116451,0.388928828,47.34615385,0.100736498,1
C9orf156,3.784658041,0.264224664,8,0,1
MADD,2.795748614,0.35768595,46.83333333,0.16968599,1
MECP2,2.313308688,0.432281262,63.82222222,0.089701516,1
CTNNBL1,2.812384473,0.355570161,32.07142857,0.117817607,1
XK,2.91219963,0.343383053,45,0.226395939,1
TET1,2.560998152,0.390472754,77.5,0.158811475,1
CADPS2,3.058225508,0.326987005,26.5,0.202842377,1
CALB2,2.347504621,0.425984252,57.43181818,0.085464015,1
NAPSA,2.799445471,0.357213602,44,0.15546595,1
PPP1R1B,2.426987061,0.412033511,61.65789474,0.101411011,1
OTOF,2.974121996,0.336233686,45.83333333,0.256554307,1
DCX,2.430683919,0.411406844,68.76666667,0.1145,1
SDF4,2.854898336,0.35027517,47.375,0.195247934,1
SAMD9,3.157116451,0.316744731,29.66666667,0.333333333,1
PDIA2,2.672828096,0.374135546,55.57142857,0.146052632,1
SRSF2,2.57948244,0.387674669,40.88,0.086893617,1
TAP2,2.789279113,0.358515573,80.8,0.279861111,1
HLA-C,2.567467652,0.389488841,56.75,0.119122807,1
CD2AP,2.617375231,0.382062147,31.29166667,0.075181159,1
SCGN,2.856746765,0.350048528,52.22222222,0.212285456,1
PLCG2,2.482439926,0.402829486,48.83870968,0.089107743,1
FLG,2.575785582,0.388231073,67.52941176,0.142946162,1
PRRT2,2.820702403,0.354521625,47.125,0.175471698,1
DEFA1,3.080406654,0.324632463,53.8,0.39270073,1
RCAN1,2.756931608,0.362722092,44.16666667,0.1414791,1
CAST,2.707948244,0.369283276,59.09090909,0.169017764,1
IL1RAP,2.70702403,0.369409355,80.07142857,0.223463687,1
SYK,2.191312384,0.456347533,77.89873418,0.097130591,1
SERPINB6,2.512014787,0.398086829,80.04761905,0.149901908,1
TRIM13,2.550831793,0.392028986,80.28571429,0.161072863,1
FAT1,2.528650647,0.395467836,94.64285714,0.183217753,1
TICAM2,2.744916821,0.364309764,68.78571429,0.208225108,1
RNF19A,2.757855823,0.362600536,47.2,0.149363057,1
CASS4,2.989833641,0.33446677,24,0.166666667,1
FERMT2,2.736598891,0.365417089,36.64705882,0.111051693,1
CKB,2.852125693,0.350615684,51.125,0.211099585,1
PLD2,2.43715342,0.410314752,62.08333333,0.103575403,1
CBLC,2.829020333,0.353479255,42.08333333,0.168340027,1
GRAP2,2.500924214,0.39985218,56.88888889,0.105466061,1
ENSG00000279392,2.844731978,0.351526966,49.125,0.193675889,1
MTHFD1,2.896487985,0.345245692,39.14285714,0.188626907,1
SRR,2.811460259,0.355687048,41,0.150740741,1
IL9R,2.61090573,0.38300885,73.86363636,0.167871901,1
IL16,2.629390018,0.380316344,80.29166667,0.190518606,1
TFF1,2.680221811,0.373103448,94.5,0.246214099,1
NR4A3,2.628465804,0.38045007,104.375,0.242715618,1
IL34,2.92051756,0.342405063,62.14285714,0.291079812,1
IL2RB,2.367837338,0.422326308,68.29310345,0.106210114,1
LILRB1,2.745841035,0.364187142,56.94444444,0.176126591,1
CD8A,2.557301294,0.391037224,74.25925926,0.15303551,1
PDSS2,3.122920518,0.320213081,23,0.235395189,1
MED23,2.722735675,0.367277665,44.6,0.13214639,1
TNK1,3.250462107,0.307648564,35.5,0.5,1
NMNAT2,2.817005545,0.354986877,42.77777778,0.165165165,1
IL23A,2.556377079,0.391178597,88.72413793,0.182185088,1
IL22,2.597966728,0.3849164,78.0625,0.175746059,1
TYK2,2.438077634,0.410159212,74.66666667,0.126085907,1
NFATC2,2.470425139,0.404788627,90.55555556,0.157150206,1
MSI1,2.74676525,0.364064603,81.3,0.24238806,1
PTCRA,2.763401109,0.36187291,86.125,0.270833333,1
SIRPB1,2.971349353,0.336547434,54.4,0.315789474,1
CLK1,2.831792976,0.353133159,34.2,0.133070866,1
MCOLN1,2.722735675,0.367277665,47.09090909,0.139735635,1
NCAPH2,3.037892791,0.32917554,31.33333333,0.206935123,1
SPPL2A,3.38909427,0.295064085,15.5,0.293269231,1
IL12A,2.689463956,0.371821306,79,0.211647304,1
PAG1,2.654343808,0.376740947,93,0.230769231,1
CDCA5,3.000924214,0.333230674,34.77777778,0.218728162,1
CSMD1,3.139556377,0.318516338,31.66666667,0.365079365,1
CIB1,2.777264325,0.360066556,58.36363636,0.192655027,1
TFCP2,2.736598891,0.365417089,93.5,0.268972142,1
PCBP4,3.072088725,0.325511432,55.33333333,0.466101695,1
LRRC4,2.999075786,0.333436055,52,0.340460526,1
CIT,2.841959335,0.351869919,63.6,0.26090535,1
MEOX2,2.861367837,0.349483204,65.75,0.275316456,1
FMN2,2.914048059,0.343165239,121,0.605,1
MYCL,2.888170055,0.34624,60,0.270927602,1
CDNF,2.899260628,0.344915524,69.25,0.331730769,1
CEACAM19,1,1,1,0,1
IGSF23,1.5,0.666666667,2,0,1
CEACAM20,1.5,0.666666667,2,0,1
ELK1,2.680221811,0.373103448,76,0.200529101,1
CELF2,2.845656192,0.351412796,35.2,0.143852459,1
METAP2,2.780961183,0.359587903,35.90909091,0.120284477,1
CTF1,2.645101664,0.378057303,74.46666667,0.177142857,1
FAAH,2.754158965,0.363087248,45.42857143,0.14108252,1
CETN1,3.260628466,0.306689342,41.5,0.519230769,1
DST,2.969500924,0.336756925,26.28571429,0.159821429,1
TSHZ1,2.919593346,0.342513454,43.875,0.201261468,1
CGB8,3.243068392,0.308349957,24.4,0.322666667,1
PCSK1N,2.896487985,0.345245692,54.7,0.231779661,1
NDUFAF6,3.107208872,0.321832243,15.58333333,0.155833333,1
SRPK2,2.845656192,0.351412796,29.66666667,0.121991701,1
PSD,2.961182994,0.337702871,54.75,0.313583815,1
SIM2,2.811460259,0.355687048,45,0.171331637,1
TPH2,2.737523105,0.36529372,52.13333333,0.156156156,1
CISD3,3.252310536,0.307473714,19.33333333,0.339506173,1
XPR1,3.028650647,0.330180043,25,0.179104478,1
GEMIN7,3.439926063,0.290703923,8.8,0.233333333,1
CLPTM1,2.953789279,0.338548185,27,0.162891986,1
NKPD1,3.815157116,0.262112403,7,0.466666667,1
GDE1,3.133086876,0.319174041,23.8,0.241237113,1
SEMA6A,2.665434381,0.37517337,54.4375,0.140665375,1
PLXNA4,2.65896488,0.376086201,55.25,0.137916667,1
FRMD4A,3.360443623,0.297579758,17.8,0.29,1
CTNNA3,2.967652495,0.336966677,22.9,0.137195122,1
TNMD,3,0.333333333,52.5,0.343137255,1
DDR1,2.821626617,0.354405503,83.25,0.315839695,1
FOSB,2.573012939,0.388649425,84,0.173195876,1
NFATC3,2.559149723,0.390754785,72.41176471,0.146641212,1
PER1,2.702402957,0.37004104,66.33333333,0.17641844,1
FHL5,2.904805915,0.344257079,71,0.343137255,1
SKIL,2.693160813,0.371310913,91.125,0.23854712,1
ENSG00000258555,2.612754159,0.382737885,75.53333333,0.16860119,1
CRYZ,2.558225508,0.390895954,65.89473684,0.133660724,1
LUZP2,3.499075786,0.285789752,12.5,0.5,1
FOXQ1,3.109981516,0.321545319,40,0.363914373,1
NAP1L1,2.902033272,0.344585987,44.375,0.203917051,1
CRISPLD2,4.129390018,0.242166517,6,0,1
SGCA,3.130314233,0.319456746,17.66666667,0.211382114,1
TYRO3,2.839186691,0.352213542,76.4,0.28754717,1
MEGF10,2.720887246,0.367527174,62.75,0.179238506,1
GLIS3,2.747689464,0.363942146,48.7,0.148615385,1
